
dwm> DIST,4,AN0,5985,2.15,3.00,0.00,1.03,AN1,8B08,0.00,3.00,0.00,1.81,AN2,1C17,2.15,0.00,0.00,3.96,AN3,020A,0.00,0.00,0.00,3.44,POS,1.40,3.07,0.81,26
DIST,4,AN0,5985,2.15,3.00,0.00,1.06,AN1,8B08,0.00,3.00,0.00,1.76,AN2,1C17,2.15,0.00,0.00,4.12,AN3,020A,0.00,0.00,0.00,3.44,POS,1.43,3.04,0.83,29
DIST,4,AN0,5985,2.15,3.00,0.00,1.06,AN1,8B08,0.00,3.00,0.00,1.75,AN2,1C17,2.15,0.00,0.00,3.22,AN3,020A,0.00,0.00,0.00,3.46,POS,1.46,3.04,0.83,36
DIST,4,AN0,5985,2.15,3.00,0.00,1.05,AN1,8B08,0.00,3.00,0.00,1.78,AN2,1C17,2.15,0.00,0.00,4.63,AN3,020A,0.00,0.00,0.00,3.43,POS,1.48,3.01,0.84,27
DIST,4,AN0,5985,2.15,3.00,0.00,1.06,AN1,8B08,0.00,3.00,0.00,1.78,AN2,1C17,2.15,0.00,0.00,6.22,AN3,020A,0.00,0.00,0.00,3.43,POS,1.50,2.99,0.85,28
DIST,4,AN0,5985,2.15,3.00,0.00,0.99,AN1,8B08,0.00,3.00,0.00,1.42,AN2,1C17,2.15,0.00,0.00,3.49,AN3,020A,0.00,0.00,0.00,3.46,POS,1.37,3.17,0.54,74
DIST,4,AN0,5985,2.15,3.00,0.00,1.22,AN1,8B08,0.00,3.00,0.00,1.85,AN2,1C17,2.15,0.00,0.00,4.00,AN3,020A,0.00,0.00,0.00,3.50,POS,1.41,3.12,0.67,36
DIST,4,AN0,5985,2.15,3.00,0.00,1.04,AN1,8B08,0.00,3.00,0.00,1.85,AN2,1C17,2.15,0.00,0.00,3.85,AN3,020A,0.00,0.00,0.00,3.52,POS,1.47,3.09,0.72,31
DIST,4,AN0,5985,2.15,3.00,0.00,1.10,AN1,8B08,0.00,3.00,0.00,1.85,AN2,1C17,2.15,0.00,0.00,4.59,AN3,020A,0.00,0.00,0.00,3.28,POS,1.50,3.00,0.77,15
DIST,4,AN0,5985,2.15,3.00,0.00,0.99,AN1,8B08,0.00,3.00,0.00,1.41,AN2,1C17,2.15,0.00,0.00,3.38,AN3,020A,0.00,0.00,0.00,3.32,POS,1.45,3.06,0.69,60
DIST,4,AN0,5985,2.15,3.00,0.00,1.10,AN1,8B08,0.00,3.00,0.00,1.76,AN2,1C17,2.15,0.00,0.00,3.63,AN3,020A,0.00,0.00,0.00,3.24,POS,1.47,2.98,0.73,18
